randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
1,1,38,0.734899166288699,0.03969260546833,0.116791047676896,0.048135706883783,0,0,0,0.060481473682293
1,1,39,0.732803121546689,0.040998598680516,0.118183558101179,0.045553870743763,0,0,0,0.062460850927854
1,1,40,0.741583558901357,0.039075989629936,0.107814438672813,0.046508154465005,0,0,0,0.06501785833089
1,1,41,0.747844354002842,0.037039973135809,0.107412201027058,0.045980657258932,0,0,0,0.061722814575359
1,1,42,0.757443359124273,0.036431164546037,0.099122522427147,0.044424447951763,0,0,0,0.06257850595078
1,1,43,0.769768716943092,0.031854136936239,0.090001165189817,0.042367757910559,0,0,0,0.066008223020293
1,1,44,0.761909659062887,0.035934494526693,0.099479831027935,0.040279589200924,0,0,0,0.06239642618156
1,1,45,0.770365434866023,0.031490397478203,0.09317487455034,0.042982138427632,0,0,0,0.061987154677802
1,1,46,0.769110655588535,0.032679911395507,0.095963617354967,0.0388786131612,0,0,0,0.063367202499791
1,1,47,0.773453108180259,0.02992084784537,0.09574554614847,0.038873474417437,0,0,0,0.062007023408464
1,1,48,0.782961424660259,0.02594399978194,0.085125766322361,0.041420301190286,0,0,0,0.064548508045153
1,1,49,0.775841355833722,0.029820193781047,0.089331279562271,0.042260330926457,0,0,0,0.062746839896503
1,1,50,0.775926392397949,0.031027637727693,0.088037446953608,0.041761398492193,0,0,0,0.063247124428558
1,1,51,0.775994529224619,0.028011479349623,0.092106882973428,0.041328890761582,0,0,0,0.062558217690748
1,1,52,0.782954866170583,0.026558650653006,0.08695663665895,0.041529630816097,0,0,0,0.062000215701364
1,1,53,0.778235565028801,0.025892016392932,0.097002629490747,0.038625397373833,0,0,0,0.060244391713687
1,1,54,0.782727455010173,0.026641256425238,0.087703916489506,0.040142109352074,0,0,0,0.062785262723008
1,1,55,0.789451592898617,0.023522616279846,0.085587587812195,0.039063471560007,0,0,0,0.062374731449336
1,1,56,0.784450018734513,0.024314500870417,0.090044825893628,0.038114827219922,0,0,0,0.06307582728152
