"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"100785",2,0.764000640455743,0.231663165561638,0.00169501105400238,0.00264118292861615,0,0,0,0
"100786",4,0.594329470955191,0.29584861820173,0.0465606045796148,0.063261306263464,0,0,0,0
"100787",6,0.602428784472978,0.263984280891531,0.112271611858282,0.0213153227772086,0,0,0,0
"100788",8,0.525561284763692,0.115902928333539,0.266296588883345,0.0922391980194235,0,0,0,0
"100789",10,0.383092320070684,0.0174641442640507,0.362343555941502,0.237099979723764,0,0,0,0
"100790",12,0.39650869762961,0.104106426377047,0.211915502095229,0.287469373898114,0,0,0,0
"100791",14,0.525375565499243,0.0976356696529053,0.226075791948804,0.150912972899048,0,0,0,0
"100792",16,0.664676900514982,0.0892138147030664,0.0935289227832149,0.152580361998737,0,0,0,0
"100793",18,0.649457655465863,0.0319444942118642,0.107385234797214,0.211212615525059,0,0,0,0
"100794",20,0.584959315920862,0.0773981510752065,0.0492490632134225,0.288393469790509,0,0,0,0
"100795",22,0.557634878643577,0.022168501420708,0.0239358262490885,0.396260793686627,0,0,0,0
"100796",24,0.55373218315283,0.00892810129109557,0.0200468705825783,0.417292844973497,0,0,0,0
"100797",26,0.576567408614525,0.011391205074779,0.0626336581541418,0.349407728156554,0,0,0,0
"100798",28,0.597913524625897,0.029149582633794,0.0141544218816305,0.358782470858679,0,0,0,0
"100799",30,0.560600374753359,0.0201496163819659,0.0603422721347607,0.358907736729914,0,0,0,0
"100800",32,0.58554432970776,0.0162163885414861,0.0205072640621905,0.377732017688563,0,0,0,0
"100801",34,0.60955208044255,0.013710941674115,0.0184973579430045,0.358239619940331,0,0,0,0
"100802",36,0.657213602351789,0.0123720117822132,0.0209329042499245,0.309481481616073,0,0,0,0
"100803",38,0.633183718304271,0.0138138982389662,0.0467129480322864,0.306289435424477,0,0,0,0
"100804",40,0.676609251454767,0.0121599784431597,0.0418568339556864,0.269373936146387,0,0,0,0
"100805",42,0.68091262120177,0.0102762545432293,0.0190509329023817,0.289760191352619,0,0,0,0
"100806",44,0.697680937165083,0.00411620747972269,0.0176692216579385,0.280533633697256,0,0,0,0
"100807",46,0.714001546915428,0.0110401990159915,0.0343262991407177,0.240631954927863,0,0,0,0
"100808",48,0.759218976429816,0.00823563222583075,0.024030394969002,0.208514996375352,0,0,0,0
"100809",50,0.750087885710202,0.00641578789020389,0.0201352367460204,0.223361089653573,0,0,0,0
"100810",52,0.747730293819382,0.00710001878008279,0.0313226628854283,0.213847024515107,0,0,0,0
"100811",54,0.786823772319496,0.00499596089785645,0.0650200215783905,0.143160245204257,0,0,0,0
"100812",56,0.783936232924493,0.00743995575862925,0.0211047489886795,0.187519062328198,0,0,0,0
"100813",58,0.789576098438723,0.00661836245629269,0.00595207474007129,0.197853464364913,0,0,0,0
"100814",60,0.824802142893293,0.00338023215328692,0.0536019651426878,0.118215659810733,0,0,0,0
"100815",62,0.792245548288453,0.00390485259932761,0.0630138621880217,0.140835736924198,0,0,0,0
"100816",64,0.801926576943205,0.00430568937903454,0.0459383582719557,0.147829375405805,0,0,0,0
"100817",66,0.837233149598604,0.00330412293388388,0.0449035448140997,0.114559182653412,0,0,0,0
"100818",68,0.82552618974517,0.00506935724075666,0.073711601705752,0.0956928513083217,0,0,0,0
"100819",70,0.841199544482057,0.0059843915610311,0.0722928858018766,0.0805231781550357,0,0,0,0
"100820",72,0.861038090668209,0.00493355335404988,0.0448256012883792,0.0892027546893615,0,0,0,0
"100821",74,0.854126387401676,0.00207351097169886,0.0660504336659971,0.0777496679606278,0,0,0,0
"100822",76,0.863279194998142,0.0100504573061353,0.0640494609566086,0.0626208867391146,0,0,0,0
"100823",78,0.81513795862136,0.0146645439791149,0.0854739363155364,0.0847235610839883,0,0,0,0
"100824",80,0.869502702380817,0.0140034295258406,0.0267251991709342,0.0897686689224081,0,0,0,0
"100825",82,0.833629999810385,0.0123047229199629,0.0438757350677085,0.110189542201943,0,0,0,0
"100826",84,0.845009317435753,0.00528512346936018,0.0670873532968722,0.0826182057980148,0,0,0,0
"100827",86,0.86526685634095,0.00903845585490444,0.0489792117160293,0.0767154760881167,0,0,0,0
"100828",88,0.871813038719332,0.0124549748601827,0.0404508438135343,0.075281142606951,0,0,0,0
"100829",90,0.831757174087664,0.0104510735161742,0.041883497955756,0.115908254440406,0,0,0,0
"100830",92,0.843086805906915,0.0027975302398482,0.072820988647328,0.081294675205909,0,0,0,0
"100831",94,0.886307587521156,0.0116278948584423,0.0620926685007682,0.0399718491196331,0,0,0,0
"100832",96,0.867054992967917,0.00936493773524987,0.0927727377097747,0.0308073315870587,0,0,0,0
"100833",98,0.86417331940297,0.00908146637022756,0.0812746307051343,0.0454705835216685,0,0,0,0
"100834",100,0.877736625489013,0.0019968907859848,0.106787665420583,0.0134788183044194,0,0,0,0
"100835",102,0.894211280558778,0.00865259427611146,0.0812643337879625,0.0158717913771485,0,0,0,0
"100836",104,0.868051604607893,0.00886413274041057,0.108792451100076,0.0142918115516203,0,0,0,0
"100837",106,0.871470053940629,0.00783540641508547,0.0997001315020016,0.0209944081422835,0,0,0,0
"100838",108,0.873360131237333,0.00184830117497927,0.113673509790434,0.0111180577972541,0,0,0,0
"100839",110,0.87461274849963,0.00632590190049658,0.084006575552466,0.035054774047408,0,0,0,0
"100840",112,0.875703633494631,0.00674447160335914,0.109743294608037,0.00780860029397294,0,0,0,0
"100841",114,0.906118631363716,0.00615705493808611,0.0778233609049801,0.00990095279321746,0,0,0,0
"100842",116,0.904591228555572,0.000328292743245612,0.0814820711269225,0.0135984075742602,0,0,0,0
"100843",118,0.911860889964371,0.00403682648200868,0.0705138640885587,0.013588419465062,0,0,0,0
"100844",120,0.897012019194851,0.00433173554547908,0.067120136798628,0.0315361084610417,0,0,0,0
"100845",122,0.893239846533102,0.00202227655662152,0.0606127681947482,0.0441251087155287,0,0,0,0
"100846",124,0.894663980710518,0.00464963438725835,0.0636580339549041,0.0370283509473191,0,0,0,0
"100847",126,0.92701101095446,0,0.0376929843068708,0.0352960047386695,0,0,0,0
"100848",128,0.9089974565537,0.00400251538845527,0.0197752854470865,0.0672247426107584,0,0,0,0
"100849",130,0.917958481626184,0.00168802796919342,0.00399259574304367,0.076360894661579,0,0,0,0
"100850",132,0.863596567266206,0.00319584017827537,0.00982352861812101,0.123384063937397,0,0,0,0
"100851",134,0.851391447734093,0.00233099546120488,0.0090050181456493,0.137272538659052,0,0,0,0
"100852",136,0.859553248675097,0,0.00489370723115422,0.135553044093749,0,0,0,0
"100853",138,0.836160733349012,0.00445412197110738,0.00241765033303858,0.156967494346842,0,0,0,0
"100854",140,0.811296297340566,0,0.000791852229328022,0.187911850430106,0,0,0,0
"100855",142,0.800884126391239,0.00540331767880276,0.000611187365784808,0.193101368564174,0,0,0,0
"100856",144,0.821174089210727,0.00188967438545721,0.000145859645067329,0.176790376758749,0,0,0,0
"100857",146,0.786780821790103,0,8.06375067818431e-05,0.213138540703115,0,0,0,0
"100858",148,0.811690988888743,0.00567126814533555,2.20060154772604e-07,0.182637522905767,0,0,0,0
"100859",150,0.806520229097335,0,0,0.193479770902665,0,0,0,0
"100860",152,0.792551289542364,0.00471120943910778,0,0.202737501018528,0,0,0,0
"100861",154,0.811634751965923,0.00172782301411879,0,0.186637425019959,0,0,0,0
"100862",156,0.803217171303441,0.00164326512242681,0,0.195139563574132,0,0,0,0
"100863",158,0.813038623692904,0.00508502934986477,0,0.181876346957231,0,0,0,0
"100864",160,0.852796965760087,0.00184381801019688,0,0.145359216229716,0,0,0,0
"100865",162,0.8393750583206,0.0026395216809876,0,0.157985419998412,0,0,0,0
"100866",164,0.857170500267768,0.00351225304726706,0,0.139317246684965,0,0,0,0
"100867",166,0.852972033641038,0.00192048116675002,0,0.145107485192212,0,0,0,0
"100868",168,0.893110503505206,0.002949140814631,0,0.103940355680163,0,0,0,0
"100869",170,0.875195601718229,0,0,0.124804398281771,0,0,0,0
"100870",172,0.861180753239989,0.00317091209746907,0,0.135648334662542,0,0,0,0
"100871",174,0.843289138213462,0.00434352700624667,0,0.152367334780291,0,0,0,0
"100872",176,0.854448221404058,0,0,0.145551778595942,0,0,0,0
"100873",178,0.900340678482491,0.00276236530416693,0,0.0968969562133416,0,0,0,0
"100874",180,0.857177827033009,0.00668522243746675,0,0.136136950529524,0,0,0,0
"100875",182,0.890416116769439,0.00384457464974233,0,0.105739308580819,0,0,0,0
"100876",184,0.915760459145657,0,0,0.0842395408543428,0,0,0,0
"100877",186,0.896710395201407,0.00377123026568305,0,0.0995183745329101,0,0,0,0
"100878",188,0.888434137785453,0.00364259821701994,0,0.107923263997527,0,0,0,0
"100879",190,0.869798710771267,0,0,0.130201289228733,0,0,0,0
