"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"114865",42,0.802399115702092,0.00421761365462995,0.0851088718342045,0.108274398809074,0,0,0,0
"114866",44,0.829006285382652,0.0105917989145766,0.0799811542319321,0.0804207614708392,0,0,0,0
"114867",46,0.827638816532377,0.0110919726994552,0.0424119244422298,0.118857286325938,0,0,0,0
"114868",48,0.823809881188131,0.00274282070669177,0.050982772024995,0.122464526080182,0,0,0,0
"114869",50,0.837870303508478,0.0100722262240484,0.0735336883573927,0.0785237819100806,0,0,0,0
"114870",52,0.808996357531171,0.00340967771700034,0.0628769761004328,0.124716988651396,0,0,0,0
"114871",54,0.842033751415081,0.000618230487001556,0.105351255090434,0.0519967630074841,0,0,0,0
"114872",56,0.871558731988537,0.0109250169233713,0.0869041466001298,0.0306121044879624,0,0,0,0
"114873",58,0.863566469669088,0.00293991792611492,0.0760291941611022,0.0574644182436947,0,0,0,0
"114874",60,0.850888017659134,0.00193498127031999,0.0731420923532811,0.0740349087172646,0,0,0,0
"114875",62,0.835752975372916,0.0120115860293848,0.100194842169112,0.0520405964285872,0,0,0,0
"114876",64,0.856454729841807,0.000485957767866682,0.0983224511902493,0.0447368612000768,0,0,0,0
"114877",66,0.837614718105176,0.000450895369275276,0.119326845225264,0.0426075413002849,0,0,0,0
"114878",68,0.864781758268918,0.00275288681801235,0.114532602381396,0.0179327525316741,0,0,0,0
"114879",70,0.834657194615468,0.00960756818641855,0.109347777639669,0.0463874595584448,0,0,0,0
"114880",72,0.902812074604406,0.00234206841200369,0.0724516311841941,0.0223942257993957,0,0,0,0
"114881",74,0.902304523150644,0.0021924057488972,0.0628187035196227,0.0326843675808363,0,0,0,0
"114882",76,0.906497579315499,0.00731207777743254,0.0601518009256165,0.0260385419814524,0,0,0,0
"114883",78,0.913385760895443,0.00252634614718989,0.0540099830428514,0.0300779099145154,0,0,0,0
"114884",80,0.904552016735677,0.00235874749786089,0.0673169293392535,0.0257723064272086,0,0,0,0
"114885",82,0.913496183947187,0.00283583670460279,0.0544810035277019,0.0291869758205082,0,0,0,0
"114886",84,0.89823695043334,0.00575671650967946,0.0795261220844888,0.0164802109724915,0,0,0,0
"114887",86,0.905392782519118,0.000966325888148351,0.0743210990682354,0.019319792524498,0,0,0,0
"114888",88,0.899338082853101,0.00260970547081884,0.0725993818853328,0.0254528297907469,0,0,0,0
"114889",90,0.901860518496532,0.00536903466351319,0.0726832871135052,0.0200871597264499,0,0,0,0
"114890",92,0.915643226429305,0.00277060105670215,0.0560415329138986,0.0255446396000939,0,0,0,0
"114891",94,0.91345959122922,0.00265415047820222,0.0509387336069111,0.0329475246856664,0,0,0,0
"114892",96,0.916545631751932,0.00620094469937847,0.0590256783671024,0.0182277451815875,0,0,0,0
"114893",98,0.89903819081072,0.00168177720452686,0.081031695850371,0.0182483361343818,0,0,0,0
"114894",100,0.899732291309735,0.00513246726156092,0.0825654216947327,0.0125698197339716,0,0,0,0
"114895",102,0.922816800851821,0.00171508977246022,0.0622956416973813,0.0131724676783372,0,0,0,0
"114896",104,0.913051947649338,0.00166742994435021,0.0723232168448596,0.0129574055614521,0,0,0,0
"114897",106,0.906145328322797,0.00172218310856058,0.0851331929040465,0.00699929566459581,0,0,0,0
"114898",108,0.944751124846573,0.00380301509185441,0.0419945038828173,0.00945135617875528,0,0,0,0
"114899",110,0.936403427582989,0.00276169898515253,0.0517328934955469,0.00910197993631196,0,0,0,0
"114900",112,0.921617737571014,0,0.0712496776422569,0.00713258478672918,0,0,0,0
"114901",114,0.933342286209827,0.00389414106826887,0.0500991182452351,0.0126644544766695,0,0,0,0
"114902",116,0.91371951785339,0.00193320221719161,0.0775769278389746,0.00677035209044383,0,0,0,0
"114903",118,0.935256268802707,0,0.0524705380032827,0.0122731931940102,0,0,0,0
"114904",120,0.934798682444052,0.00321925818123545,0.0425376761366654,0.0194443832380472,0,0,0,0
"114905",122,0.950776182006621,0.00706761266345102,0.0230453046588926,0.0191109006710351,0,0,0,0
