"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"118730",2,0.774162006605188,0.221466503863078,0.00170880802575861,0.00266268150597535,0,0,0,0
"118731",4,0.527060268432381,0.368922867104079,0.0466199042254343,0.0573969602381061,0,0,0,0
"118732",6,0.558002257567372,0.339238184513113,0.101310756193699,0.00144880172581634,0,0,0,0
"118733",8,0.416091710680013,0.2102071802275,0.25138992024311,0.122311188849377,0,0,0,0
"118734",10,0.146524608356539,0.158735111170247,0.229996590763932,0.464743689709282,0,0,0,0
"118735",12,0.358349293507587,0.128763992234768,0.15898812980246,0.353898584455184,0,0,0,0
"118736",14,0.359633180819258,0.0229481710214749,0.0541996418353809,0.563219006323887,0,0,0,0
"118737",16,0.382794216393679,0.0213151922787329,0.0516709483577062,0.544219642969882,0,0,0,0
"118738",18,0.517767859248394,0.0561572558340726,0.0354876737299545,0.390587211187579,0,0,0,0
"118739",20,0.449086302740454,0.0126094212288892,0.0275881266593739,0.510716149371283,0,0,0,0
"118740",22,0.409093242538052,0.0504189446049243,0.00291718803199053,0.537570624825034,0,0,0,0
"118741",24,0.51570384691549,0.00617053679999081,0.00554925870786275,0.472576357576656,0,0,0,0
"118742",26,0.731181513240407,0.0562119316717294,0.0412716739980578,0.171334881089806,0,0,0,0
"118743",28,0.646086966030201,0.0875687742804013,0.212433625305304,0.0539106343840929,0,0,0,0
"118744",30,0.734725968362333,0.029350885064889,0.219958559718577,0.0159645868542009,0,0,0,0
"118745",32,0.834550239546869,0.0320100110723258,0.110029056169535,0.0234106932112707,0,0,0,0
"118746",34,0.797470700987586,0.0272180763420354,0.172462138576371,0.00284908409400803,0,0,0,0
"118747",36,0.817060632899683,0.00408310649328731,0.178584041065775,0.000272219541254154,0,0,0,0
"118748",38,0.758199308967492,0.0777062433454363,0.160276652856387,0.00381779483068499,0,0,0,0
"118749",40,0.933376873564992,0.00188248385718457,0.0636817352500796,0.00105890732774423,0,0,0,0
"118750",42,0.908865646735451,0.040820664241687,0.0490952288631987,0.0012184601596637,0,0,0,0
"118751",44,0.907302596171048,0.0261707177305138,0.0662975264144175,0.000229159684020435,0,0,0,0
"118752",46,0.886105481181488,0.0693802180325522,0.0384184492255794,0.00609585156038019,0,0,0,0
"118753",48,0.769426351321197,0.134771438912551,0.088770507746562,0.00703170201969017,0,0,0,0
"118754",50,0.869355679754469,0.0794295077212708,0.00902707235201113,0.0421877401722493,0,0,0,0
"118755",52,0.83183814265193,0.129704421165125,0.0339374071941502,0.00452002898879437,0,0,0,0
"118756",54,0.898926429357672,0.0504700071485883,0.0156918639223644,0.0349116995713755,0,0,0,0
"118757",56,0.959134422857334,0.0107445518864909,0.0121697753307801,0.0179512499253946,0,0,0,0
"118758",58,0.878264117741406,0.0699803079718246,0.0275194935142473,0.0242360807725224,0,0,0,0
"118759",60,0.892267979458895,0.0787178380078344,0.0108312874048552,0.0181828951284153,0,0,0,0
"118760",62,0.91289991166294,0.0364799519280936,0.00563378394409573,0.0449863524648704,0,0,0,0
"118761",64,0.92664252576371,0.0272969190022103,0.0108702231109802,0.0351903321230998,0,0,0,0
"118762",66,0.908433969944306,0.0497796229739989,0.00884743110324708,0.032938975978448,0,0,0,0
