"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"89052",2,0.769128142045226,0.226464461518492,0.00172284397534203,0.00268455246093998,0,0,0,0
"89053",4,0.538965248018898,0.371215068282265,0.0391038963161892,0.0507157873826472,0,0,0,0
"89054",6,0.552288088663436,0.304937241166055,0.134338009465023,0.00843666070548693,0,0,0,0
"89055",8,0.496647785080131,0.122738298565254,0.261994126484104,0.118619789870512,0,0,0,0
"89056",10,0.38400336857703,0.0344777064143705,0.355415338873805,0.226103586134794,0,0,0,0
"89057",12,0.314207307192971,0.100941469624567,0.257762890387679,0.327088332794783,0,0,0,0
"89058",14,0.560945390030705,0.0975370082320586,0.188534211576704,0.152983390160532,0,0,0,0
"89059",16,0.573275790130297,0.0868627466184841,0.0901875771688811,0.249673886082338,0,0,0,0
"89060",18,0.522565647828009,0.0444808014851196,0.0390088630137711,0.3939446876731,0,0,0,0
"89061",20,0.521499471891456,0.0284628570471527,0.0137342203658675,0.436303450695524,0,0,0,0
"89062",22,0.540076368081063,0.0331519138338894,0.0060137641514464,0.420757953933601,0,0,0,0
"89063",24,0.521506126647044,0.00675595645392126,0.00546729859745278,0.466270618301582,0,0,0,0
"89064",26,0.542972373346529,0.00661740598949019,0.0101500986711539,0.440260121992826,0,0,0,0
"89065",28,0.520216472138374,0.0164990698782149,0.0206938951453351,0.442590562838076,0,0,0,0
"89066",30,0.61325578193998,0.00222529547176773,0.0388259206241401,0.345693001964112,0,0,0,0
"89067",32,0.704681462143493,0.00620543632649913,0.0209183596530388,0.268194741876969,0,0,0,0
"89068",34,0.740420783391235,0.014392022653418,0.0304909270848505,0.214696266870496,0,0,0,0
"89069",36,0.743009801012792,0.0073319060400891,0.0395297074502983,0.21012858549682,0,0,0,0
"89070",38,0.758623198604706,0.00679911656860531,0.0281833011008379,0.206394383725851,0,0,0,0
"89071",40,0.758308442168343,0.00642180485305755,0.0344210271810792,0.20084872579752,0,0,0,0
"89072",42,0.730809905035549,0.000574169759384084,0.069668037761288,0.198947887443779,0,0,0,0
"89073",44,0.764695512290363,0.0150988264178228,0.0405934916693182,0.179612169622496,0,0,0,0
