"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"87225",2,0.77488223486243,0.220728916111968,0.00171559382319208,0.00267325520240995,0,0,0,0
"87226",4,0.547300031183256,0.351107364060612,0.0538011924841942,0.0477914122719382,0,0,0,0
"87227",6,0.589673672657811,0.298068162966525,0.10668976638416,0.00556839799150328,0,0,0,0
"87228",8,0.475270801275328,0.172667987690977,0.244331536235573,0.107729674798121,0,0,0,0
"87229",10,0.422976575868425,0.010026741723826,0.334271177383064,0.232725505024685,0,0,0,0
"87230",12,0.339087196067276,0.0811663948185553,0.272398995708206,0.307347413405962,0,0,0,0
"87231",14,0.527655109186965,0.0622940815845306,0.244552377234609,0.165498431993896,0,0,0,0
"87232",16,0.534225017858939,0.105642397177929,0.0664286887178187,0.293703896245314,0,0,0,0
"87233",18,0.603145054190262,0.00636328178226006,0.0702181405189983,0.32027352350848,0,0,0,0
"87234",20,0.550851881012782,0.0379453923609851,0.0125825143299382,0.398620212296294,0,0,0,0
"87235",22,0.521935551988437,0.0219638708821062,0.0209514124848003,0.435149164644657,0,0,0,0
"87236",24,0.546589834757045,0.020135487441985,0.0178612048807897,0.415413472920181,0,0,0,0
"87237",26,0.497155040294316,0.0105340597273138,0.010152103289708,0.482158796688663,0,0,0,0
"87238",28,0.502477358447536,0.0257107549336511,0.0109143123716091,0.460897574247204,0,0,0,0
"87239",30,0.5720001083922,0.0176517470964602,0.0124928492422711,0.397855295269069,0,0,0,0
"87240",32,0.619352302873861,0.00134518623565084,0.0137020464254602,0.365600464465028,0,0,0,0
"87241",34,0.682847085166813,0.0100290959786808,0.016695178275271,0.290428640579235,0,0,0,0
"87242",36,0.686587386499328,0.00275902951977105,0.0347758256682149,0.275877758312686,0,0,0,0
"87243",38,0.706280708475807,0.0131326698254426,0.0288177489833081,0.251768872715442,0,0,0,0
"87244",40,0.74491311127275,0.0213244889941926,0.0451571182984593,0.188605281434599,0,0,0,0
"87245",42,0.788621153447088,0.00202441187638168,0.0299899960022373,0.179364438674293,0,0,0,0
"87246",44,0.805446806391273,0.0121237795204207,0.0514772910279878,0.130952123060318,0,0,0,0
"87247",46,0.794993751025322,0.0189703925572149,0.0564272435797631,0.1296086128377,0,0,0,0
"87248",48,0.834105377701193,0.00359285445652388,0.0351020908763216,0.127199676965962,0,0,0,0
"87249",50,0.876130518439379,0.00569122893976919,0.0433079958078964,0.0748702568129556,0,0,0,0
"87250",52,0.849332669982795,0.00121829380313955,0.0681891932955387,0.0812598429185268,0,0,0,0
"87251",54,0.835136919336598,0.00482928425744258,0.0678062263820427,0.0922275700239173,0,0,0,0
"87252",56,0.874624123322809,0.00478779202059701,0.037695873087985,0.0828922115686088,0,0,0,0
"87253",58,0.885976654651475,0.0010732951016541,0.0818783038768133,0.0310717463700575,0,0,0,0
"87254",60,0.880234948472558,0.000805649577859967,0.0758416849021651,0.043117717047417,0,0,0,0
"87255",62,0.866617204537618,0.000755124371919745,0.0871293897126894,0.0454982813777733,0,0,0,0
"87256",64,0.849215993635492,0.000860965599395123,0.0823596605082039,0.0675633802569095,0,0,0,0
"87257",66,0.894084899244576,0.00905841471948405,0.0686531258282969,0.0282035602076434,0,0,0,0
"87258",68,0.871322933233618,2.46468560783566e-05,0.0747167202326827,0.0539356996776213,0,0,0,0
"87259",70,0.883867363366442,0.00170520655970104,0.075103824879463,0.0393236051943939,0,0,0,0
