"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"164033",2,0.764661069850371,0.231052386108012,0.00167560297420594,0.00261094106741145,0,0,0,0
"164034",4,0.561333436829346,0.348524382976243,0.0441333069817063,0.0460088732127052,0,0,0,0
"164035",6,0.694636121350544,0.178432300391217,0.118929710109606,0.00800186814863398,0,0,0,0
"164036",8,0.438094427123932,0.418060410350607,0.112028771287371,0.03181639123809,0,0,0,0
"164037",10,0.463758898599513,0.337503093004019,0.19681498294117,0.00192302545529727,0,0,0,0
"164038",12,0.393010223085831,0.00220324066495759,0.355658940834547,0.249127595414664,0,0,0,0
"164039",14,0.322377368076035,0.0495201092474701,0.266523645351401,0.361578877325094,0,0,0,0
"164040",16,0.376794072563675,0.08618154179957,0.186315737799999,0.350708647836756,0,0,0,0
"164041",18,0.694759969533981,0.132040105427222,0.0861720052091201,0.0870279198296763,0,0,0,0
"164042",20,0.609440089440923,0.132364205788831,0.109543664608746,0.1486520401615,0,0,0,0
"164043",22,0.517390534951396,0.0241380692971943,0.0426264684964699,0.41584492725494,0,0,0,0
"164044",24,0.448357455739246,0.0356329655955804,0.0115000989321678,0.504509479733006,0,0,0,0
"164045",26,0.453769021522831,0.0144150491582565,0.0136979421906352,0.518117987128277,0,0,0,0
"164046",28,0.475603071008223,0.0312739333639649,0.0199255337301622,0.473197461897649,0,0,0,0
"164047",30,0.426891000649144,0.0231978906250746,0.00169163176272163,0.548219476963059,0,0,0,0
"164048",32,0.512543183086431,0.0156330934368949,0.0112096827729048,0.46061404070377,0,0,0,0
"164049",34,0.640485156510555,0.0124092060201489,0.042578744478991,0.304526892990304,0,0,0,0
"164050",36,0.626099204186727,0.0119490501006487,0.0243482194416239,0.337603526271,0,0,0,0
"164051",38,0.66640057117281,0.00438699305144627,0.0152306743031382,0.313981761472606,0,0,0,0
"164052",40,0.685523680435233,0.00600987158593129,0.0177987253836585,0.290667722595177,0,0,0,0
"164053",42,0.711897409004864,0.00695584198433023,0.0128126984734378,0.268334050537368,0,0,0,0
"164054",44,0.729776385111409,0.00872362115486757,0.0439978176217012,0.217502176112022,0,0,0,0
"164055",46,0.759552827613126,0.0107216026428017,0.0362376207809409,0.193487948963132,0,0,0,0
