"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"60163",2,0.771877990390484,0.223696763700065,0.00172982130487349,0.00269542460457722,0,0,0,0
"60164",4,0.577799631232343,0.305629968096997,0.0514050675034328,0.0651653331672265,0,0,0,0
"60165",6,0.579777880863782,0.273740437477293,0.128245340250654,0.0182363414082714,0,0,0,0
"60166",8,0.486284523708405,0.142679669511284,0.267676482202997,0.103359324577314,0,0,0,0
"60167",10,0.341689782810474,0.0407990612610632,0.311668764208628,0.305842391719835,0,0,0,0
"60168",12,0.396523026330325,0.132953098858,0.187817043035214,0.282706831776461,0,0,0,0
"60169",14,0.679457931426523,0.0763571134078628,0.139734097738234,0.10445085742738,0,0,0,0
"60170",16,0.53588352221169,0.0464034120929633,0.046843278265643,0.370869787429704,0,0,0,0
"60171",18,0.484287239716572,0.0532098244998001,0.032865317473418,0.42963761831021,0,0,0,0
"60172",20,0.464126959103877,0.0313095491364351,0.00852194523063003,0.496041546529058,0,0,0,0
"60173",22,0.47053843752836,0.0138280370914791,0.00815560460626388,0.507477920773898,0,0,0,0
"60174",24,0.444502182236528,0.0152182514087109,0.00677780535576416,0.533501760998997,0,0,0,0
"60175",26,0.429510627903268,0.0123361787255262,0.001771610130999,0.556381583240207,0,0,0,0
"60176",28,0.648451787797925,0.0151498756484086,0.0153496002019289,0.321048736351737,0,0,0,0
"60177",30,0.769346541522993,0.0175840348398626,0.0611613796137195,0.151908044023425,0,0,0,0
"60178",32,0.768003471630018,0.00410732469004767,0.121231090500947,0.106658113178988,0,0,0,0
"60179",34,0.745730347018249,0.0370498478257491,0.124484918544809,0.092734886611193,0,0,0,0
"60180",36,0.814069232500811,0.0154429080035832,0.0923325425526083,0.0781553169429976,0,0,0,0
"60181",38,0.795316250234915,0.0172205902116572,0.151288335678215,0.0361748238752126,0,0,0,0
"60182",40,0.835992862895469,0.000440934169425741,0.152453516506666,0.0111126864284392,0,0,0,0
"60183",42,0.837822399282475,0.0145672807009568,0.133474878739452,0.014135441277117,0,0,0,0
"60184",44,0.891865178835676,0.00507130220320049,0.0983008252771535,0.00476269368397029,0,0,0,0
"60185",46,0.846308232163739,0.000920408552296586,0.145376832340447,0.00739452694351746,0,0,0,0
"60186",48,0.885776853906769,0.00263238557347779,0.0928821122674705,0.0187086482522826,0,0,0,0
"60187",50,0.873095453688357,0.000522787721761594,0.108628721771881,0.0177530368180003,0,0,0,0
"60188",52,0.859250188131589,0.0148560356159625,0.108088338722394,0.0178054375300542,0,0,0,0
"60189",54,0.891237079808664,0.00165997403543584,0.0882782163532561,0.0188247298026439,0,0,0,0
"60190",56,0.854704876997069,0.00255547490547865,0.136823291582253,0.00591635651519874,0,0,0,0
"60191",58,0.904127876955945,0.00115657942541098,0.077852305854131,0.0168632377645132,0,0,0,0
"60192",60,0.890542601538676,0.0127925458013229,0.0924569159054528,0.00420793675454835,0,0,0,0
"60193",62,0.879396495372376,0.00190610151267469,0.0945222438351789,0.0241751592797708,0,0,0,0
"60194",64,0.882800145232601,0.00109354244905803,0.0994930900547294,0.0166132222636118,0,0,0,0
"60195",66,0.886562230987239,0.0116152394177346,0.0784797044061321,0.0233428251888942,0,0,0,0
"60196",68,0.884407006683716,0.00985490299853082,0.0658346841431813,0.039903406174572,0,0,0,0
"60197",70,0.870915555186277,0.00981060745238731,0.104634588066903,0.0146392492944326,0,0,0,0
"60198",72,0.87604683118438,0.0124828193834997,0.0732495516009614,0.0382207978311586,0,0,0,0
"60199",74,0.920224674177053,0.00735587606380041,0.0664696143442258,0.00594983541492092,0,0,0,0
"60200",76,0.871351638398081,0.0018842021220325,0.106642290028223,0.0201218694516641,0,0,0,0
"60201",78,0.906278374888027,0.00572138395855814,0.068732123787162,0.0192681173662524,0,0,0,0
"60202",80,0.885873937440019,0.00765943224140811,0.0870526046515859,0.0194140256669868,0,0,0,0
"60203",82,0.880338465922798,0.00909129333032375,0.0975524697933523,0.0130177709535259,0,0,0,0
"60204",84,0.878432648383215,0.00736653418802863,0.0750056902746055,0.0391951271541506,0,0,0,0
"60205",86,0.914403172790553,0.00679791960895873,0.0524364109831159,0.0263624966173725,0,0,0,0
"60206",88,0.890203157527383,0.00616635205699572,0.069623562456588,0.0340069279590335,0,0,0,0
"60207",90,0.877075512840013,0.00687456173442772,0.102203541169974,0.013846384255585,0,0,0,0
"60208",92,0.892230259573612,0.00634388197161492,0.0871596538052134,0.0142662046495598,0,0,0,0
"60209",94,0.886343825290314,0.00626981048534985,0.0891106430276278,0.0182757211967084,0,0,0,0
"60210",96,0.87284322857137,0.00749200667066736,0.108756034112895,0.0109087306450684,0,0,0,0
"60211",98,0.8609871150868,0.00708244142251126,0.120262456175416,0.0116679873152728,0,0,0,0
"60212",100,0.886554414152504,0.00645887140602084,0.0976868204020572,0.00929989403941795,0,0,0,0
"60213",102,0.908188518027975,0.00443685510761126,0.072338006122208,0.0150366207422061,0,0,0,0
"60214",104,0.884395679730287,0.00505269337483478,0.103279797014266,0.00727182988061218,0,0,0,0
"60215",106,0.896654405693021,0.00493251651297596,0.0904721013335132,0.00794097646049,0,0,0,0
"60216",108,0.929104024424791,0.00353144377475524,0.0560480829176376,0.0113164488828158,0,0,0,0
"60217",110,0.903667502505829,0.00438134784700676,0.0842238210810935,0.00772732856607082,0,0,0,0
"60218",112,0.903194647228588,0.0033445768080505,0.0790732371975449,0.0143875387658164,0,0,0,0
"60219",114,0.900878642064437,0.00270791760981259,0.0824889550101634,0.0139244853155866,0,0,0,0
"60220",116,0.920727034770995,0.00197476067158742,0.0668214002865527,0.0104768042708653,0,0,0,0
"60221",118,0.936542532482883,0.00207770790564546,0.0445547182013095,0.0168250414101618,0,0,0,0
"60222",120,0.9173149231017,0.00136201796120439,0.0550508327354789,0.0262722262016167,0,0,0,0
"60223",122,0.925278979162871,0,0.0587341442285767,0.0159868766085517,0,0,0,0
"60224",124,0.956960368846539,0.00195488210532223,0.0284049453673646,0.0126798036807741,0,0,0,0
"60225",126,0.93612816290675,0.000957734371645076,0.0194988191158359,0.0434152836057694,0,0,0,0
"60226",128,0.949712613788954,0,0.0225905373351679,0.0276968488758776,0,0,0,0
"60227",130,0.941786445507242,0.00872907720636163,0.012520160562189,0.0369643167242073,0,0,0,0
"60228",132,0.905293560757047,0,0.0120033211847266,0.0827031180582268,0,0,0,0
"60229",134,0.899341489546622,2.59209819856885e-05,0.00325826135658008,0.0973743281148125,0,0,0,0
"60230",136,0.930444070815851,0.000105058737002923,0.0034086963745996,0.0660421740725469,0,0,0,0
"60231",138,0.939515243086562,0,0.00348951866623263,0.0569952382472057,0,0,0,0
"60232",140,0.949573285212821,0.000396075695511902,0.00113493132364039,0.0488957077680272,0,0,0,0
"60233",142,0.931742574317029,0,0.00102763391663488,0.0672297917663361,0,0,0,0
"60234",144,0.938115858021085,0.000229631756383226,0.00108277414115159,0.0605717360813803,0,0,0,0
"60235",146,0.936307156293255,0,0.000159672491675822,0.0635331712150688,0,0,0,0
"60236",148,0.896391809568689,0.00190969473077084,0.000159663672914454,0.101538832027626,0,0,0,0
"60237",150,0.903785045936153,0,0.000979138057018938,0.0952358160068276,0,0,0,0
"60238",152,0.907817922182664,0.000741946238034607,0.0010261013274804,0.0904140302518207,0,0,0,0
"60239",154,0.909589814674167,0.0103299971551796,0.00095725763257349,0.0791229305380798,0,0,0,0
"60240",156,0.868604441361679,0.000961741154836798,0.000795111520480556,0.129638705963004,0,0,0,0
