"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"85059",2,0.767602753012324,0.228016178191639,0.00171255254432673,0.00266851625171029,0,0,0,0
"85060",4,0.567332939905003,0.362702263930897,0.0387252828322503,0.0312395133318501,0,0,0,0
"85061",6,0.571200693023715,0.319801679981987,0.105537099411514,0.00346052758278377,0,0,0,0
"85062",8,0.405243884652393,0.148666189882172,0.30342720034981,0.142662725115625,0,0,0,0
"85063",10,0.270991497411732,0.0622238837808061,0.369070876605655,0.297713742201807,0,0,0,0
"85064",12,0.309019439937773,0.129589043980863,0.273888927511546,0.287502588569817,0,0,0,0
"85065",14,0.511190690125441,0.110391781640274,0.118026551358881,0.260390976875403,0,0,0,0
"85066",16,0.521659788649504,0.00451165595994107,0.043291630296394,0.430536925094161,0,0,0,0
"85067",18,0.526040544051609,0.0155129884230976,0.0503184891916851,0.408127978333608,0,0,0,0
"85068",20,0.546735842223477,0.0136396984579445,0.0271013970353649,0.412523062283214,0,0,0,0
"85069",22,0.515775321190352,0.0184543965132177,0.0522851170340603,0.41348516526237,0,0,0,0
"85070",24,0.507855946879374,0.00554740140739753,0.0193377000179013,0.467258951695327,0,0,0,0
"85071",26,0.525302543932607,0.0100836501242871,0.00959257511259781,0.455021230830508,0,0,0,0
"85072",28,0.788756147376591,0.0356039480147258,0.0576679787322696,0.117971925876413,0,0,0,0
"85073",30,0.79996904038996,0.00781592084991922,0.177105581361486,0.0151094573986348,0,0,0,0
"85074",32,0.804814933567398,0.016484399520844,0.167367490449499,0.0113331764622589,0,0,0,0
"85075",34,0.762384509672809,0.0043997259824952,0.227550590567426,0.00566517377726918,0,0,0,0
"85076",36,0.766654245288626,0.0113739713072085,0.215671286926506,0.00630049647765997,0,0,0,0
"85077",38,0.855863141931005,0.0075725049019299,0.132610295016319,0.00395405815074624,0,0,0,0
"85078",40,0.801380768932059,0.00976312937112043,0.1877263622383,0.00112973945852117,0,0,0,0
