"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"91971",2,0.763741943029473,0.231919726040349,0.00169584638326794,0.00264248454690989,0,0,0,0
"91972",4,0.572372999414628,0.354237826547431,0.0270360017520827,0.0463531722858588,0,0,0,0
"91973",6,0.568749636239067,0.325682175656297,0.0961567413937553,0.00941144671088087,0,0,0,0
"91974",8,0.410784940944937,0.118470190051158,0.308475876531054,0.162268992472852,0,0,0,0
"91975",10,0.312929077057993,0.0634545919831152,0.337515418193929,0.286100912764962,0,0,0,0
"91976",12,0.446124529747303,0.171302171899909,0.224740969360531,0.157832328992257,0,0,0,0
"91977",14,0.583073575633812,0.0930609571243401,0.0969184570162781,0.22694701022557,0,0,0,0
"91978",16,0.541730151023832,0.0661194577553587,0.106844417363346,0.285305973857463,0,0,0,0
"91979",18,0.528981666535657,0.0236793283682868,0.052672609505171,0.394666395590886,0,0,0,0
"91980",20,0.522037675338726,0.0386159587927466,0.0338105228631443,0.405535843005383,0,0,0,0
"91981",22,0.555885086727175,0.0131082979733926,0.0232877155876311,0.407718899711802,0,0,0,0
"91982",24,0.523820545943088,0.0113064225055273,0.0229165956838452,0.441956435867539,0,0,0,0
"91983",26,0.578584440867619,0.0136333686234053,0.0202364273145221,0.387545763194454,0,0,0,0
"91984",28,0.558282651537232,0.0150897309033669,0.0138209238530327,0.412806693706369,0,0,0,0
"91985",30,0.655355562369213,0.00991549934670623,0.0317859113699963,0.302943026914085,0,0,0,0
"91986",32,0.704318113885955,0.00531121081284131,0.0647736996294674,0.225596975671736,0,0,0,0
"91987",34,0.714657608685244,0.0124518577004418,0.0383014338974336,0.234589099716881,0,0,0,0
"91988",36,0.722189242634995,0.000466653258964013,0.0309757065769096,0.246368397529132,0,0,0,0
"91989",38,0.695713686817142,0.00179543019448485,0.0515352502179064,0.250955632770467,0,0,0,0
"91990",40,0.733552445351046,0.0168263774660132,0.00999276809730154,0.23962840908564,0,0,0,0
"91991",42,0.750779817751004,0.00502931635175765,0.0465207282532028,0.197670137644035,0,0,0,0
"91992",44,0.748806221472899,0.011086454369536,0.0590361480465278,0.181071176111038,0,0,0,0
"91993",46,0.776323441465764,0.0170264132730719,0.0131015364534683,0.193548608807695,0,0,0,0
"91994",48,0.767767116516435,0.00350461769223503,0.0257620152271292,0.202966250564201,0,0,0,0
"91995",50,0.76865149923813,0.0121529015122256,0.0242650868851581,0.194930512364486,0,0,0,0
"91996",52,0.758800673606726,0.00690234305739097,0.0239083142601102,0.210388669075773,0,0,0,0
"91997",54,0.776243314937135,0.0105553547982212,0.0213009016239781,0.191900428640665,0,0,0,0
"91998",56,0.740783730562654,0.00804773333900564,0.0193698661337281,0.231798669964612,0,0,0,0
"91999",58,0.731952253087962,0.0125968118442,0.0111007834666215,0.244350151601216,0,0,0,0
"92000",60,0.776714820414164,0.0107472075924804,0.0100058790623917,0.202532092930964,0,0,0,0
"92001",62,0.779794363122484,0.00685600467649173,0.0102856865724362,0.203063945628588,0,0,0,0
"92002",64,0.789630017944698,0.00349873311209988,0.00950209663472108,0.197369152308481,0,0,0,0
"92003",66,0.756638360945954,0.0150272051001369,0.00448221936157293,0.223852214592336,0,0,0,0
"92004",68,0.769782624015202,0.0056970332744596,0.00456889177013645,0.219951450940201,0,0,0,0
"92005",70,0.792499149118342,0.0214160107998342,0.0119260259277395,0.174158814154084,0,0,0,0
"92006",72,0.812599294897666,0.0041998658459928,0.0104022300925126,0.172798609163829,0,0,0,0
"92007",74,0.799673342221396,0.0198225726877002,0.0101659277283524,0.170338157362552,0,0,0,0
"92008",76,0.757479292543205,0.0203601924807679,0.0131997764522652,0.208960738523762,0,0,0,0
"92009",78,0.76629057961248,0.0207273238741084,0.0056976259649068,0.207284470548505,0,0,0,0
"92010",80,0.780607215525073,0.0199384054510528,0.0056758988145467,0.193778480209327,0,0,0,0
"92011",82,0.734905657284404,0.0285557330165627,0.00605859779693691,0.230480011902096,0,0,0,0
"92012",84,0.766256643814709,0.0136843549179541,0.00601685698554274,0.214042144281794,0,0,0,0
"92013",86,0.751377440785073,0.0241301971670307,0.00686096763833898,0.217631394409557,0,0,0,0
"92014",88,0.789788328204092,0.00789859228695501,0.00344701984083294,0.19886605966812,0,0,0,0
"92015",90,0.772396192290358,0.00993635240851595,0.00652901797472808,0.211138437326398,0,0,0,0
"92016",92,0.754277469034803,0.0194145935258936,0.00268440782342018,0.223623529615884,0,0,0,0
"92017",94,0.791939488559323,0.00716997840990664,0.00375048497596402,0.197140048054807,0,0,0,0
"92018",96,0.779853064842724,0.0179880091099007,0.00737796180320991,0.194780964244165,0,0,0,0
"92019",98,0.781097574761117,0.00677430136362334,0.00704042604263197,0.205087697832628,0,0,0,0
"92020",100,0.785624148220012,0.0170103700223159,0.0132537161405608,0.184111765617111,0,0,0,0
"92021",102,0.824516628658817,0.00562828947229513,0.0129865455464801,0.156868536322408,0,0,0,0
"92022",104,0.839565077022225,0.0140373088074576,0.00794617351860048,0.138451440651716,0,0,0,0
"92023",106,0.809304000408783,0.0124878156113886,0.00758609257672511,0.170622091403104,0,0,0,0
"92024",108,0.822392088234424,0.00482204112996027,0.012767864991684,0.160018005643932,0,0,0,0
"92025",110,0.827512669431062,0.0119650717225949,0.0125454495872882,0.147976809259055,0,0,0,0
"92026",112,0.853875032334407,0.0125292297776473,0.0120402469071702,0.121555490980776,0,0,0,0
"92027",114,0.83225134083332,0.00420461840375245,0.0108879952994313,0.152656045463497,0,0,0,0
"92028",116,0.820910069992236,0.0108622653540475,0.0111180401859421,0.157109624467774,0,0,0,0
"92029",118,0.860803913333756,0.00990082782220766,0.00697973684972997,0.122315521994306,0,0,0,0
"92030",120,0.84893674163068,0.00915466309896174,0.00654719343512513,0.135361401835233,0,0,0,0
"92031",122,0.834348794714272,0.00134464512757784,0.00337370582947799,0.160932854328672,0,0,0,0
"92032",124,0.856267648401941,0.00790193837007757,0.000408908141634669,0.135421505086347,0,0,0,0
"92033",126,0.905239319712396,8.0596941610139e-07,0.000496740027965159,0.0942631342902224,0,0,0,0
"92034",128,0.852286026641742,0.00743237395877852,0.000422927849155851,0.139858671550324,0,0,0,0
"92035",130,0.88004575278185,0,5.15985222847126e-05,0.119902648695865,0,0,0,0
"92036",132,0.852447452231606,0.00781609079861389,4.06762680247361e-05,0.139695780701755,0,0,0,0
