"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"97884",2,0.761597531376714,0.234134981010577,0.00166815384767263,0.00259933376503638,0,0,0,0
"97885",4,0.559501092301593,0.344817512247393,0.0359206860853106,0.0597607093657037,0,0,0,0
"97886",6,0.597314490479426,0.275824911085971,0.119722779164318,0.00713781927028527,0,0,0,0
"97887",8,0.516080435164977,0.187658056481468,0.230252728201387,0.0660087801521683,0,0,0,0
"97888",10,0.433424095920923,0.0208924973609809,0.301373939398725,0.244309467319372,0,0,0,0
"97889",12,0.330277795030242,0.10899427822797,0.321504702881326,0.239223223860462,0,0,0,0
"97890",14,0.556273569860729,0.126404005270312,0.203868647365919,0.11345377750304,0,0,0,0
"97891",16,0.616662948959985,0.0887236545988066,0.0797964261839772,0.214816970257231,0,0,0,0
"97892",18,0.592413460992846,0.0577449853043479,0.0453658484894672,0.304475705213339,0,0,0,0
"97893",20,0.540789231029646,0.0366836109357386,0.0432721595411553,0.37925499849346,0,0,0,0
"97894",22,0.517842481029424,0.0400932189939491,0.0470310974017213,0.395033202574905,0,0,0,0
"97895",24,0.590326862558748,0.0138480517638981,0.0139888428800088,0.381836242797346,0,0,0,0
"97896",26,0.574258192045717,0.0736198719724393,0.042150969779185,0.309970966202658,0,0,0,0
"97897",28,0.59339779509442,0.0244612328507556,0.0368926363470764,0.345248335707748,0,0,0,0
"97898",30,0.629843934544122,0.00433608536875155,0.0652536479709824,0.300566332116144,0,0,0,0
"97899",32,0.597514635050069,0.00532301505754883,0.0512364254927854,0.345925924399597,0,0,0,0
"97900",34,0.6254869538777,0.0191201918638591,0.0256899459610114,0.32970290829743,0,0,0,0
"97901",36,0.6995031900925,0.000575945108571512,0.0359106008504201,0.264010263948508,0,0,0,0
"97902",38,0.692017727071434,0.000510395190020234,0.0234380387846646,0.284033838953881,0,0,0,0
"97903",40,0.695125663031291,0.00126673889807143,0.0372886663478335,0.266318931722804,0,0,0,0
"97904",42,0.69317745148566,0.0155782230329746,0.0840073998645147,0.20723692561685,0,0,0,0
"97905",44,0.663135192771283,0.0170248716132112,0.0693842376155744,0.250455697999932,0,0,0,0
"97906",46,0.716124501406622,0.000872093117657022,0.0710663227589192,0.211937082716801,0,0,0,0
"97907",48,0.683717281630513,0.0186819113907756,0.0867257171455219,0.21087508983319,0,0,0,0
"97908",50,0.732138191262232,0.0198270736570214,0.0374448181584811,0.210589916922266,0,0,0,0
"97909",52,0.724699688809617,0.0121290441007619,0.0408191445791522,0.222352122510469,0,0,0,0
"97910",54,0.731330210417664,0.0112929023028868,0.0589504145045563,0.198426472774893,0,0,0,0
"97911",56,0.756640619071077,0.0104246317264471,0.0321578677205056,0.20077688148197,0,0,0,0
"97912",58,0.730911313137343,0.00822845738730479,0.0569202481977381,0.203939981277614,0,0,0,0
"97913",60,0.721293863467652,0.0220563657658672,0.0641591790842448,0.192490591682236,0,0,0,0
"97914",62,0.772705913368628,0.00819544592585609,0.049058336472168,0.170040304233348,0,0,0,0
"97915",64,0.797783120510884,0.00329859051631807,0.0257965264382355,0.173121762534562,0,0,0,0
"97916",66,0.769373843328878,0.0172777282938561,0.0448887369232003,0.168459691454066,0,0,0,0
