"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"132815",2,0.768109735776287,0.227491917447001,0.00171930647838784,0.00267904029832406,0,0,0,0
"132816",4,0.579055226966242,0.336701591755753,0.0388415761251614,0.0454016051528437,0,0,0,0
"132817",6,0.575369096424257,0.310773319164288,0.106882477231614,0.00697510717984051,0,0,0,0
"132818",8,0.433500303523869,0.240193663447227,0.239876754353128,0.0864292786757762,0,0,0,0
"132819",10,0.258488124024432,0.136391250983938,0.274019285137639,0.331101339853992,0,0,0,0
"132820",12,0.346091850050045,0.125131800766188,0.254648763968565,0.274127585215202,0,0,0,0
"132821",14,0.551483157669659,0.0893464342093366,0.106915297411524,0.25225511070948,0,0,0,0
"132822",16,0.557007080515172,0.0093892999050358,0.0686787127282431,0.364924906851549,0,0,0,0
"132823",18,0.524043711462407,0.0521664698651177,0.034537688632542,0.389252130039933,0,0,0,0
"132824",20,0.486417952520763,0.0179587921660187,0.0590931457410196,0.436530109572199,0,0,0,0
"132825",22,0.485536440696335,3.54469067092688e-05,0.0182806423862567,0.496147470010699,0,0,0,0
"132826",24,0.506691001982547,0.0126528780958854,0.0211457636616977,0.45951035625987,0,0,0,0
"132827",26,0.548947443523716,0.0101619989059943,0.0350334837160344,0.405857073854255,0,0,0,0
"132828",28,0.585410502499337,0.0190578632286525,0.0133348410136151,0.382196793258395,0,0,0,0
"132829",30,0.646387317157213,0.0441640170759491,0.0334273297276005,0.276021336039237,0,0,0,0
"132830",32,0.755768878168386,0.0750300282909524,0.128519619049091,0.0406814744915711,0,0,0,0
"132831",34,0.753051924511229,0.0112190709040954,0.220256699903561,0.0154723046811148,0,0,0,0
"132832",36,0.759171634474742,0.00846099336625284,0.219011889376608,0.0133554827823973,0,0,0,0
"132833",38,0.75378510820805,0.0176717080603283,0.214626830093367,0.0139163536382546,0,0,0,0
"132834",40,0.704139113174273,0.0352463214608069,0.247042275903258,0.0135722894616615,0,0,0,0
"132835",42,0.787385041481687,0.0408816740690623,0.160429547055857,0.0113037373933936,0,0,0,0
"132836",44,0.78605768922061,0.031842033797195,0.163941500398608,0.018158776583587,0,0,0,0
"132837",46,0.817854409637084,0.00697071397367089,0.169291452293636,0.00588342409560938,0,0,0,0
"132838",48,0.833946277328072,0.0130851445175765,0.12746082021218,0.0255077579421717,0,0,0,0
