"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"115769",2,0.77184346339644,0.223804389454544,0.00170124712035444,0.00265090002866214,0,0,0,0
"115770",4,0.578961060482099,0.331558882786905,0.0348094292760468,0.0546706274549488,0,0,0,0
"115771",6,0.568732537321352,0.315142904743275,0.113181748127865,0.00294280980750775,0,0,0,0
"115772",8,0.497014474240454,0.131676337241953,0.233802519248256,0.137506669269337,0,0,0,0
"115773",10,0.293821537613301,0.0671993507416704,0.381261815208414,0.257717296436615,0,0,0,0
"115774",12,0.386414645514249,0.141125455408466,0.198536263300409,0.273923635776876,0,0,0,0
"115775",14,0.644870716282368,0.0908264831471904,0.161457929468919,0.102844871101523,0,0,0,0
"115776",16,0.522029077168955,0.132190951574468,0.0504181015746287,0.295361869681949,0,0,0,0
"115777",18,0.504247033302619,0.0407249619817757,0.00936882515645648,0.445659179559149,0,0,0,0
"115778",20,0.430506577535503,0.0397199957958031,0.0104444265996422,0.519329000069051,0,0,0,0
"115779",22,0.416746148233938,0.0591922475772665,0.0134281967787598,0.510633407410036,0,0,0,0
"115780",24,0.441518442813339,0.00858142502774445,0.0123324132620803,0.537567718896836,0,0,0,0
"115781",26,0.491631474440806,0.00415705456206957,0.0137517692708243,0.4904597017263,0,0,0,0
"115782",28,0.532718075719755,0.00822575286017086,0.0101767675415482,0.448879403878526,0,0,0,0
"115783",30,0.59946556571319,0.0224587232191328,0.0345180407073115,0.343557670360366,0,0,0,0
"115784",32,0.702080826777327,0.00384210721102329,0.0616366903714914,0.232440375640158,0,0,0,0
"115785",34,0.730697331243926,0.00134046396768186,0.0666036143015795,0.201358590486813,0,0,0,0
"115786",36,0.728947875564021,0.00901231715352474,0.0874795569241064,0.174560250358348,0,0,0,0
"115787",38,0.769726938384224,0.0160920968131714,0.0967269484887263,0.117454016313879,0,0,0,0
"115788",40,0.782277176183583,0.00399771191467576,0.122011721549229,0.0917133903525122,0,0,0,0
"115789",42,0.848542354596196,0.00157299076841398,0.105321696480525,0.0445629581548658,0,0,0,0
"115790",44,0.822634185048851,0.00140227505748274,0.116500572480776,0.0594629674128899,0,0,0,0
"115791",46,0.846313357919548,0.00158118357350885,0.0860553297625664,0.0660501287443772,0,0,0,0
"115792",48,0.831008052074635,0.0155815169375736,0.0813903699130603,0.0720200610747313,0,0,0,0
"115793",50,0.861236205104371,0.00392328172508659,0.0935915964403137,0.0412489167302283,0,0,0,0
"115794",52,0.83438461060229,0.00217388279989527,0.0843554325775159,0.0790860740202989,0,0,0,0
"115795",54,0.850533097378905,0.0151280321719229,0.0905908429214581,0.0437480275277141,0,0,0,0
"115796",56,0.873533871518359,0.00310896396167448,0.0515020704893362,0.07185509403063,0,0,0,0
"115797",58,0.851879663199969,1.96205906347873e-06,0.0776137327573646,0.0705046419836032,0,0,0,0
"115798",60,0.809959296576521,0.00160273702250167,0.0865904904256146,0.101847475975363,0,0,0,0
"115799",62,0.839789768921702,0.00148930974601056,0.0560504384829413,0.102670482849347,0,0,0,0
"115800",64,0.860752084556861,0.00138592164346372,0.0440632707901138,0.0937987230095612,0,0,0,0
"115801",66,0.812031787771424,0.0187424465399001,0.0948496797415251,0.0743760859471504,0,0,0,0
"115802",68,0.836431430251473,0.0154749730308338,0.0442683300406196,0.103825266677073,0,0,0,0
"115803",70,0.821105177655317,0.0150210260044034,0.0358722506066446,0.128001545733636,0,0,0,0
"115804",72,0.844850252933431,0.0142120392365968,0.0418570508537022,0.0990806569762706,0,0,0,0
"115805",74,0.853042857871649,0.012025453500381,0.0306436164170966,0.104288072210873,0,0,0,0
"115806",76,0.812808669780649,0.0258884734265219,0.0555750430732169,0.105727813719612,0,0,0,0
"115807",78,0.856095506610366,0.0116075794054324,0.0603888622934477,0.0719080516907537,0,0,0,0
"115808",80,0.835116606529616,0.0197186216077197,0.0506826170199681,0.0944821548426961,0,0,0,0
"115809",82,0.849432249247583,0.00988830408369922,0.0378129815255555,0.102866465143162,0,0,0,0
"115810",84,0.866637773990455,0.017834422171559,0.0443053933163292,0.071222410521657,0,0,0,0
"115811",86,0.864540795436408,0.0165958448605277,0.0220574150369123,0.0968059446661516,0,0,0,0
"115812",88,0.838075539744399,0.0142910451677192,0.0526373870904749,0.0949960279974073,0,0,0,0
"115813",90,0.842291193677727,0.00554630460885652,0.0776887812970949,0.0744737204163217,0,0,0,0
"115814",92,0.857364185113626,0.0143125354141582,0.0840087005798117,0.0443145788924036,0,0,0,0
"115815",94,0.872578405861684,0.0135617195758766,0.0596964071722114,0.054163467390228,0,0,0,0
"115816",96,0.898443178577401,0.0121956873697069,0.0539272674529405,0.0354338665999518,0,0,0,0
"115817",98,0.895467104672998,0.00996584529597777,0.0715327489453621,0.023034301085662,0,0,0,0
"115818",100,0.883549241735011,0.010749416786886,0.0837299873817258,0.0219713540963771,0,0,0,0
"115819",102,0.892348901139299,0.00967983063838853,0.0617434023759711,0.0362278658463415,0,0,0,0
"115820",104,0.88703430241949,0.00248138680434635,0.0939233332489463,0.0165609775272173,0,0,0,0
"115821",106,0.889645806281331,0.00821256474387343,0.057528562896342,0.0446130660784536,0,0,0,0
"115822",108,0.908935260239816,0.00769857840996407,0.0657729540391131,0.0175932073111065,0,0,0,0
"115823",110,0.902073580730618,0.0072468565238299,0.0629585387876161,0.0277210239579354,0,0,0,0
"115824",112,0.90333253956631,0.00555656347961761,0.0399467902089727,0.0511641067450996,0,0,0,0
"115825",114,0.902384312797495,0.00622376833730034,0.0471523834223473,0.044239535442857,0,0,0,0
"115826",116,0.890695506936168,0.00692501034978855,0.0444743564305755,0.0579051262834684,0,0,0,0
"115827",118,0.884594456626443,0.00555930607527623,0.0637379726142012,0.0461082646840794,0,0,0,0
"115828",120,0.912660833218546,0.0049839032944644,0.043355755670266,0.0389995078167235,0,0,0,0
"115829",122,0.938076506205778,0.00335215945638438,0.0190419316473403,0.039529402690497,0,0,0,0
"115830",124,0.937850001557631,0.0038794843566206,0.0141069615684054,0.0441635525173431,0,0,0,0
"115831",126,0.896706195718891,0.00334297880196253,0.0361128416906902,0.0638379837884564,0,0,0,0
"115832",128,0.924371611589856,0.00280003219556599,0.0232027440069589,0.0496256122076191,0,0,0,0
"115833",130,0.908107800171721,0.00840866759420002,0.0134076023301652,0.0700759299039136,0,0,0,0
"115834",132,0.915196053013078,0.00356451894764351,0.00869720992867556,0.0725422181106027,0,0,0,0
"115835",134,0.875818112766929,0,0.0077728867538575,0.116409000479213,0,0,0,0
"115836",136,0.855665046865484,0.00446723724798868,0.00402751408537518,0.135840201801152,0,0,0,0
"115837",138,0.875345722815631,0.00253977000996071,0.00397835371322912,0.118136153461179,0,0,0,0
"115838",140,0.889223134689433,0,0.00176021823214613,0.109016647078421,0,0,0,0
"115839",142,0.848015327807179,0.00504669010435924,0.00140031168624221,0.145537670402219,0,0,0,0
"115840",144,0.863802264717263,0,0.000351765138413176,0.135845970144323,0,0,0,0
"115841",146,0.8455065380026,0.00491716110576953,0,0.14957630089163,0,0,0,0
"115842",148,0.876135883967366,0.00478880418427721,0,0.119075311848357,0,0,0,0
"115843",150,0.87045717096958,0,0,0.12954282903042,0,0,0,0
"115844",152,0.8071101840566,0.00756294872209122,0,0.185326867221309,0,0,0,0
"115845",154,0.823855446356366,0,0,0.176144553643634,0,0,0,0
"115846",156,0.847627153736359,0.0053815482694543,0,0.146991297994187,0,0,0,0
"115847",158,0.86772205647376,0,0,0.13227794352624,0,0,0,0
"115848",160,0.852054599146085,0.00530467044410997,0,0.142640730409805,0,0,0,0
"115849",162,0.845828988390513,0.00512686686675305,0,0.149044144742734,0,0,0,0
"115850",164,0.836079523642502,0,0,0.163920476357498,0,0,0,0
"115851",166,0.837982465458755,0.00674014985409244,0,0.155277384687153,0,0,0,0
"115852",168,0.877904966762839,0,0,0.122095033237161,0,0,0,0
"115853",170,0.853581201608203,0.00454076542103929,0,0.141878032970757,0,0,0,0
"115854",172,0.871037308633892,0.00437148068511187,0,0.124591210680996,0,0,0,0
"115855",174,0.856734400952505,0,0,0.143265599047495,0,0,0,0
"115856",176,0.835914035398609,0.00436298043684331,0,0.159722984164548,0,0,0,0
"115857",178,0.893961422570372,0,0,0.106038577429628,0,0,0,0
"115858",180,0.92255344058488,0.00264155966874021,0,0.0748049997463796,0,0,0,0
"115859",182,0.904654552647046,0,0,0.0953454473529539,0,0,0,0
"115860",184,0.900321880178157,0.00329641424882291,0,0.0963817055730198,0,0,0,0
"115861",186,0.879631000995522,0.0128977117526474,0,0.10747128725183,0,0,0,0
"115862",188,0.898263364434384,0,0,0.101736635565616,0,0,0,0
"115863",190,0.847698477349153,0.0036812758691769,0,0.148620246781671,0,0,0,0
"115864",192,0.828508514079575,0.0111664193050384,0,0.160325066615386,0,0,0,0
"115865",194,0.894152506411154,0,0,0.105847493588846,0,0,0,0
"115866",196,0.893466782175561,0.00277872633869727,0,0.103754491485742,0,0,0,0
"115867",198,0.913809797944645,0.00246924677917064,0,0.0837209552761846,0,0,0,0
"115868",200,0.879957247134474,0.00980507124576531,0,0.110237681619761,0,0,0,0
"115869",202,0.873518390024029,0.00223180495906808,0,0.124249805016902,0,0,0,0
"115870",204,0.845951922050373,0,0,0.154048077949627,0,0,0,0
"115871",206,0.858659106769343,0.011941677237022,0,0.129399215993635,0,0,0,0
"115872",208,0.885623059651136,0.00202516125122458,0,0.11235177909764,0,0,0,0
