"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"80985",2,0.770182821817387,0.225426471116111,0.00171632012830586,0.00267438693819596,0,0,0,0
"80986",4,0.582456774963738,0.331737279518003,0.0282834693946842,0.0575224761235749,0,0,0,0
"80987",6,0.577802422688153,0.298715640789726,0.109218723685459,0.0142632128366623,0,0,0,0
"80988",8,0.568417915110292,0.0297816684718333,0.290627024414946,0.111173392002929,0,0,0,0
"80989",10,0.410438074875398,0.029378672837821,0.336008500166129,0.224174752120652,0,0,0,0
"80990",12,0.502547245044324,0.0615799669624147,0.235620678269204,0.200252109724058,0,0,0,0
"80991",14,0.532088324022452,0.142942491348522,0.223531487908958,0.101437696720067,0,0,0,0
"80992",16,0.592068407338873,0.0921473446641728,0.0393125060565912,0.276471741940363,0,0,0,0
"80993",18,0.631877719140824,0.0108978486422425,0.0169011328103878,0.340323299406546,0,0,0,0
"80994",20,0.567108655718509,0.0548759518231576,0.0155267012214274,0.362488691236906,0,0,0,0
"80995",22,0.521009064318791,0.0497914694536754,0.0121975091882051,0.417001957039329,0,0,0,0
"80996",24,0.503171363104134,0.022209328525107,0.0119612443510565,0.462658064019702,0,0,0,0
"80997",26,0.543560277002848,0.00861742303879307,0.0196964761497189,0.42812582380864,0,0,0,0
"80998",28,0.536584736018948,0.00832559276332508,0.00959708406069261,0.445492587157035,0,0,0,0
"80999",30,0.488873979937812,0.0232216127440387,0.00698979155765067,0.480914615760498,0,0,0,0
"81000",32,0.724784241977531,0.0169375954513473,0.0127633561878475,0.245514806383275,0,0,0,0
"81001",34,0.715889229951121,0.00628195208351561,0.0528096949269637,0.2250191230384,0,0,0,0
"81002",36,0.754438172362414,0.00765949106399204,0.0229456785056352,0.214956658067959,0,0,0,0
"81003",38,0.752066770845357,0.00571463938491445,0.0284864134578171,0.213732176311912,0,0,0,0
"81004",40,0.738393408854965,0.0129952118721067,0.0468938384731039,0.201717540799825,0,0,0,0
"81005",42,0.787605463945423,0.00385871299932709,0.05511582350449,0.15341999955076,0,0,0,0
"81006",44,0.795701554466806,0.000126585915926652,0.072606149062289,0.131565710554978,0,0,0,0
"81007",46,0.778140148354581,0.0115275054165157,0.0617087271110191,0.148623619117884,0,0,0,0
"81008",48,0.782896617838178,0.00513641761430433,0.0401158233581113,0.171851141189406,0,0,0,0
"81009",50,0.811702435311341,0.00370588278447607,0.0290789298475021,0.155512752056681,0,0,0,0
