"","t","delta_des","delta_l","delta_f2","delta_f3","delta_obs..1.","delta_obs..2.","delta_obs..3.","delta_wall"
"61075",2,0.761165013540872,0.23446642256537,0.00170766439871392,0.00266089949504391,0,0,0,0
"61076",4,0.56742833785893,0.322214283782528,0.0389335323051573,0.0714238460533838,0,0,0,0
"61077",6,0.59350216557713,0.275739332581657,0.120592918713406,0.0101655831278078,0,0,0,0
"61078",8,0.581063845547339,0.107246639151348,0.208876277893635,0.102813237407678,0,0,0,0
"61079",10,0.406876588992308,0.0403385417766393,0.363060734512036,0.189724134719016,0,0,0,0
"61080",12,0.510329782451995,0.0920784850688168,0.229939800706207,0.167651931772981,0,0,0,0
"61081",14,0.615858029334469,0.113050633002586,0.202992965361899,0.068098372301046,0,0,0,0
"61082",16,0.652825236437379,0.0978165819931045,0.102759692248335,0.146598489321181,0,0,0,0
"61083",18,0.657832281552889,0.0579881466321257,0.0787574105826878,0.205422161232298,0,0,0,0
"61084",20,0.613564670734909,0.0311042108792553,0.0314295015687602,0.323901616817076,0,0,0,0
"61085",22,0.617949061859114,0.0207892492702063,0.0146706375397764,0.346591051330904,0,0,0,0
"61086",24,0.546364043748641,0.0474230665502617,0.0197646691000335,0.386448220601064,0,0,0,0
"61087",26,0.584507842528133,0.0121292459234845,0.0428341229833542,0.360528788565028,0,0,0,0
"61088",28,0.522527631316221,0.0243652185053436,0.0175873722879259,0.435519777890509,0,0,0,0
"61089",30,0.533689796333304,0.0181571708076551,0.00955125879514383,0.438601774063897,0,0,0,0
"61090",32,0.530363889524586,0.0174257291966885,0.00823843452777993,0.443971946750946,0,0,0,0
"61091",34,0.607466649119261,0.0164436962982188,0.0201002980226662,0.355989356559854,0,0,0,0
"61092",36,0.651272798311692,0.000324550655542958,0.0206197584741268,0.327782892558638,0,0,0,0
"61093",38,0.658973131809595,0.0156875994034222,0.0199939618966192,0.305345306890364,0,0,0,0
"61094",40,0.716099521548754,0.00343368206575833,0.0209432980725092,0.259523498312979,0,0,0,0
