randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
73,1,73,0.807907271,0.090320147,0,0.101560968,0,0,0,0.000211614
74,1,74,0.80228386,0.09723308,0,0.099512967,0,0,0,0.000970093
75,1,75,0.808116799,0.09302025,0,0.092296287,0,0,0,0.006566664
76,1,76,0.795684461,0.099649344,0,0.085373266,0,0,0,0.019292929
77,1,77,0.750397593,0.087593724,0,0.072880649,0,0,0,0.089128034
78,1,78,0.613060632,0.149663635,0,0.066030372,0,0,0,0.171245361
79,1,79,0.599663862,0.114340993,1.16E-06,0.064437825,0,0,0,0.221556161
80,1,80,0.750740444,0.112882714,0.000321904,0.067357309,0,0,0,0.068697629
81,1,81,0.661284599,0.067288815,0.000305107,0.074759832,0,0,0,0.196361647
82,1,82,0.627882713,0.128518483,0.001176748,0.08191049,0,0,0,0.160511566
83,1,83,0.65767416,0.067829361,0.002889609,0.087416423,0,0,0,0.184190447
84,1,84,0.687457825,0.047944074,0.006300448,0.143287128,0,0,0,0.115010525
85,1,85,0.649695074,0.027428694,0.006271958,0.164813586,0,0,0,0.151790688
86,1,86,0.657181403,0.01804428,0.008616152,0.168579311,0,0,0,0.147578854
87,1,87,0.643084901,0.019736242,0.011026337,0.184858486,0,0,0,0.141294034
88,1,88,0.651104176,0.014807013,0.012919057,0.180246621,0,0,0,0.140923133
89,1,89,0.651228968,0.010694883,0.015846479,0.173291442,0,0,0,0.148938228
90,1,90,0.667368291,0.015163741,0.018900653,0.170225711,0,0,0,0.128341604
91,1,91,0.678291821,0.011412609,0.01852317,0.162551351,0,0,0,0.129221049
92,1,92,0.701418415,0.012537887,0.019123138,0.149697545,0,0,0,0.117223015
93,1,93,0.722506888,0.013052453,0.017819233,0.132246525,0,0,0,0.114374901
94,1,94,0.739166174,0.011387843,0.018511363,0.119237089,0,0,0,0.111697531
95,1,95,0.762656571,0.010977599,0.017201496,0.104664187,0,0,0,0.104500147
96,1,96,0.782446915,0.013005296,0.018517695,0.087296575,0,0,0,0.098733519
97,1,97,0.803681717,0.013063275,0.017446928,0.07683069,0,0,0,0.08897739
98,1,98,0.820716873,0.017727815,0.020216538,0.064543998,0,0,0,0.076794776
99,1,99,0.827418419,0.016166873,0.022142677,0.056484829,0,0,0,0.077787202
100,1,100,0.827443012,0.022167823,0.026086072,0.048009824,0,0,0,0.076293269
101,1,101,0.807404266,0.022791033,0.021955498,0.05223559,0,0,0,0.095613613
102,1,102,0.790079543,0.024141009,0.019939537,0.052465569,0,0,0,0.113374342
103,1,103,0.756303552,0.024346332,0.021106888,0.069480959,0,0,0,0.128762269
104,1,104,0.730967292,0.023598186,0.020314333,0.081393801,0,0,0,0.143726388
105,1,105,0.714306311,0.021906603,0.019100675,0.089720101,0,0,0,0.15496631
106,1,106,0.69878865,0.025631095,0.013082263,0.116844192,0,0,0,0.1456538
107,1,107,0.702076445,0.023953529,0.01298019,0.106990913,0,0,0,0.153998923
108,1,108,0.683906873,0.023290983,0.007629968,0.127394167,0,0,0,0.157778009
109,1,109,0.686621611,0.022905176,0.007408052,0.130052778,0,0,0,0.153012383
110,1,110,0.672735987,0.025151399,0.005247405,0.13770144,0,0,0,0.159163769
111,1,111,0.671906087,0.022287525,0.00454807,0.146008766,0,0,0,0.155249552
112,1,112,0.671600145,0.024496863,0.004778765,0.150754361,0,0,0,0.148369866
113,1,113,0.677563772,0.024253208,0.004356362,0.154923238,0,0,0,0.13890342
114,1,114,0.68649281,0.024563403,0.003758182,0.146736356,0,0,0,0.138449249
115,1,115,0.685763292,0.023888548,0.003752411,0.148177014,0,0,0,0.138418735
116,1,116,0.70342036,0.023703868,0.002576603,0.131306041,0,0,0,0.138993128
117,1,117,0.704235821,0.025324188,0.002196281,0.133794231,0,0,0,0.134449479
118,1,118,0.718190162,0.025932899,0.003635159,0.127994326,0,0,0,0.124247454
119,1,119,0.72702753,0.028429905,0.003840563,0.12192217,0,0,0,0.118779832
120,1,120,0.729879878,0.030886745,0.003103202,0.123518568,0,0,0,0.112611607
121,1,121,0.74812384,0.031114211,0.002567992,0.113466057,0,0,0,0.1047279
122,1,122,0.740857005,0.038080503,0.003819788,0.110506175,0,0,0,0.106736529
123,1,123,0.753986419,0.038224088,0.002644494,0.108016753,0,0,0,0.097128246
124,1,124,0.741438211,0.03732862,0.005254036,0.123747251,0,0,0,0.092231882
125,1,125,0.747570464,0.041141155,0.003647547,0.116811657,0,0,0,0.090829177
126,1,126,0.746852353,0.040133714,0.003380575,0.129695994,0,0,0,0.079937364
127,1,127,0.746014039,0.042443453,0.004545553,0.128449283,0,0,0,0.078547672
128,1,128,0.751199859,0.036628617,0.005674583,0.13127041,0,0,0,0.075226531
129,1,129,0.746911822,0.038955762,0.005584076,0.134609673,0,0,0,0.073938667
130,1,130,0.759098607,0.034937903,0.005547996,0.135225702,0,0,0,0.065189792
131,1,131,0.764835552,0.035209668,0.009231683,0.126972642,0,0,0,0.063750455
132,1,132,0.777873556,0.033631856,0.010343726,0.121998629,0,0,0,0.056152233
133,1,133,0.785763417,0.030045019,0.011740983,0.121807197,0,0,0,0.050643384
134,1,134,0.792656349,0.029301656,0.013216181,0.121926565,0,0,0,0.042899249
135,1,135,0.803728135,0.024137095,0.015354913,0.117786733,0,0,0,0.038993124
136,1,136,0.810101818,0.024064586,0.016589617,0.11736433,0,0,0,0.031879649
137,1,137,0.826631255,0.022915941,0.017511135,0.106644422,0,0,0,0.026297247
138,1,138,0.831328283,0.020649682,0.020054168,0.107237017,0,0,0,0.02073085
139,1,139,0.841304389,0.019951348,0.019825494,0.104248718,0,0,0,0.014670051
140,1,140,0.853864336,0.017844018,0.020660415,0.098582018,0,0,0,0.009049213
141,1,141,0.855907059,0.017284389,0.022474679,0.099060443,0,0,0,0.00527343
142,1,142,0.865125639,0.013669101,0.024102926,0.094628606,0,0,0,0.002473728
143,1,143,0.869184,0.013974258,0.02430576,0.091574167,0,0,0,0.000961815
144,1,144,0.873160476,0.012310242,0.023685286,0.09067108,0,0,0,0.000172916
145,1,145,0.881807424,0.011290457,0.022085562,0.084791457,0,0,0,2.51E-05
146,1,146,0.881939032,0.01186529,0.022651396,0.083544262,0,0,0,2.00E-08
147,1,147,0.89199208,0.031120112,0.021384564,0.055503244,0,0,0,0
